name,llm_url,model_name,api_key
Llama-3.1-8b (private),http://localhost:8081/v1,/Volumes/externalssd/dhopp1/ggufs/Meta-Llama-3.1-8B-Instruct-Q5_K_L.gguf,no-key
Gemini 1.5 Pro (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-1.5-pro,API_KEY
Gemini 2.0 Flash (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.0-flash,API_KEY
Gemini 2.0 Flash Thinking (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.0-flash-thinking-exp,API_KEY
Gemini 2.5 Flash Experimental (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.5-flash-preview-04-17,API_KEY
Gemini 2.5 Pro Experimental (cloud),https://generativelanguage.googleapis.com/v1beta/openai,gemini-2.5-pro-exp-03-25,API_KEY
DeepSeek V3 0324 (cloud),https://openrouter.ai/api/v1,deepseek/deepseek-chat-v3-0324:free,API_KEY
DeepSeek R1 (cloud),https://openrouter.ai/api/v1,deepseek/deepseek-r1:free,API_KEY
QwQ 32b (cloud),https://openrouter.ai/api/v1,qwen/qwq-32b:free,API_KEY
Llama 4 Scout 17b (cloud),https://openrouter.ai/api/v1,meta-llama/llama-4-scout:free,API_KEY
Llama 4 Maverick 17b (cloud),https://openrouter.ai/api/v1,meta-llama/llama-4-maverick:free,API_KEY
Command A 3 (cloud),https://api.cohere.ai/compatibility/v1,command-a-03-2025,API_KEY
Command R+ (cloud),https://api.cohere.ai/compatibility/v1,command-r-plus,API_KEY
