Product_Code,Product_Label
B_TOT,Total biotrade
B_A,Live animals and plants
B_AA,Live animals
B_AA01,Horses
010121,"Horses; live, pure-bred breeding animals"
010129,"Horses; live, other than pure-bred breeding animals"
B_AA02,Asses
010130,Asses; live
B_AA03,Mules and hinnies
010190,Mules and hinnies; live
B_AA04,Cattle
010221,"Cattle; live, pure-bred breeding animals"
010229,"Cattle; live, other than pure-bred breeding animals"
B_AA05,Buffalo
010231,"Buffalo; live, pure-bred breeding animals"
010239,"Buffalo; live, other than pure-bred breeding animals"
B_AA06,Bovine animals other than cattle and buffalo
010290,"Bovine animals; live, other than cattle and buffalo"
B_AA07,Swine
010310,"Swine; live, pure-bred breeding animals"
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
B_AA08,Sheep
010410,Sheep; live
B_AA09,Goats
010420,Goats; live
B_AA10,Chickens
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
B_AA11,Turkeys
010512,"Poultry; live, turkeys, weighing not more than 185g"
B_AA12,Ducks
010513,"Poultry; live, ducks, weighing not more than 185g"
B_AA13,Geese
010514,"Poultry; live, geese, weighing not more than 185g"
B_AA14,Guinea fowls
010515,"Poultry; live, guinea fowls, weighing not more than 185g"
B_AA15,Unspecified fowls other than chickens
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
B_AA16,Fish
B_AA17,Ornamental fish
030111,"Fish; live, ornamental, freshwater"
030119,"Fish; live, ornamental, other than freshwater"
B_AA18,Other fish
030191,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030192,"Fish; live, eels (Anguilla spp.)"
030193,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
030194,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030195,"Fish; live, southern bluefin tunas (Thunnus maccoyii)"
030199,"Fish; live, n.e.c. in heading 0301"
B_AA19,Other mammals
010611,"Mammals; live, primates"
010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,"Mammals; live, camels and other camelids (Camelidae)"
010614,"Mammals; live, rabbits and hares"
010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
B_AA20,Reptiles
010620,Reptiles; live (including snakes and turtles)
B_AA21,Other birds
010631,"Birds; live, birds of prey"
010632,"Birds; live, Psittaciformes"
010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)"
010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
B_AA22,Insects
010641,"Insects; live, bees"
010649,"Insects; live, other than bees"
B_AA23,"Other live animals, n.e.s.i."
010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
B_AB,Live plants
B_AB01,"Live trees, shrubs, bushes, bulbs, tubers and similar products commonly supplied by nursery gardeners or florists"
060110,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant"
060120,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212"
060210,"Plants, live; unrooted cuttings and slips"
060220,"Plants, live; edible fruit or nut trees, shrubs and bushes, grafted or not"
060230,"Plants, live; rhododendrons and azaleas, grafted or not"
060240,"Plants, live; roses, grafted or not"
060290,"Plants, live; n.e.c. in heading no. 0602"
B_AB02,Cut flowers
060311,"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
060312,"Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
060313,"Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
060314,"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
060315,"Flowers, cut; lilies (Lilium spp.), flowers and flower buds of a kind suitable for bouquets or ornamental purposes, fresh"
060319,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies"
060390,"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
B_AB03,"Foliage, branches and other parts of plants commonly supplied by nursery gardeners or florists"
060420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh"
060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
B_B,Food and beverage
B_BA,Meat and edible offal
B_BA01,Of bovine animals
B_BA02,Fresh or chilled
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,"Meat; of bovine animals, boneless cuts, fresh or chilled"
020610,"Offal, edible; of bovine animals, fresh or chilled"
B_BA03,Frozen
020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen"
020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,"Meat; of bovine animals, boneless cuts, frozen"
020621,"Offal, edible; of bovine animals, tongues, frozen"
020622,"Offal, edible; of bovine animals, livers, frozen"
020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen"
B_BA04,"Salted, in brine, dried or smoked"
021020,"Meat; salted, in brine, dried or smoked, of bovine animals"
B_BA05,Preparations
160250,"Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)"
B_BA06,Of swine
B_BA07,Fresh or chilled
020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled"
020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
020630,"Offal, edible; of swine, fresh or chilled"
B_BA08,Frozen
020321,"Meat; of swine, carcasses and half-carcasses, frozen"
020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
020641,"Offal, edible; of swine, livers, frozen"
020649,"Offal, edible; of swine, (other than livers), frozen"
B_BA09,"Fat, free of lean meat"
020910,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
B_BA10,"Salted, in brine, dried or smoked"
021011,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in"
021012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof"
021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1"
B_BA11,Preparations
160241,"Meat preparations; of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations)"
160242,"Meat preparations; of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations)"
160249,"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602"
B_BA12,Of sheep
B_BA13,Fresh or chilled
020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
B_BA14,Frozen
020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen"
020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,"Meat; of sheep (including lamb), boneless cuts, frozen"
B_BA15,Of goats
B_BA16,"Fresh, chilled or frozen"
020450,"Meat; of goats, fresh, chilled or frozen"
B_BA17,"Of horses, asses, mules and hinnies"
B_BA18,"Fresh, chilled or frozen"
020500,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
B_BA19,"Of sheep, goats, horses, asses, mules or hinnies, not specified"
B_BA20,Fresh or chilled
020680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
B_BA21,Frozen
020690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
B_BA22,Of chickens
B_BA23,Fresh or chilled
020711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled"
020713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled"
B_BA24,Frozen
020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen"
020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
B_BA25,Preparations
160232,"Meat preparations; of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus)"
B_BA26,Of turkeys
B_BA27,Fresh or chilled
020724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled"
020726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled"
B_BA28,Frozen
020725,"Meat and edible offal; of turkeys, not cut in pieces, frozen"
020727,"Meat and edible offal; of turkeys, cuts and offal, frozen"
B_BA29,Preparations
160231,"Meat preparations; of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations)"
B_BA30,Of ducks
B_BA31,Fresh or chilled
020741,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled"
020743,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled"
020744,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
B_BA32,Frozen
020742,"Meat and edible offal; of ducks, not cut in pieces, frozen"
020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
B_BA33,Of geese
B_BA34,Fresh or chilled
020751,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled"
020753,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled"
020754,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
B_BA35,Frozen
020752,"Meat and edible offal; of geese, not cut in pieces, frozen"
020755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
B_BA36,Of guinea fowls
B_BA37,"Fresh, chilled or frozen"
020760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen"
B_BA38,Of unspecified poultry
B_BA39,"Fat, not rendered or otherwise extracted"
020990,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
B_BA40,Preparations
160239,"Meat preparations; of poultry (excluding turkeys), prepared or preserved meat or meat offal (excluding livers and homogenised preparations)"
B_BA41,Of unspecified animal
B_BA42,Preparations
160100,"Meat preparations; sausages and similar products, of meat, meat offal or blood, and food preparations based on these products"
160210,"Meat preparations; homogenised preparations of meat, meat offal or blood"
160220,Meat preparations; of the prepared or preserved liver of any animal (excluding homogenised preparations)
160290,"Meat preparations; of meat, meat offal or the blood of any animal, n.e.c. in heading no. 1602"
B_BA43,Of other animals
B_BA44,"Fresh, chilled or frozen"
020810,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen"
020830,"Meat and edible meat offal; of primates, fresh, chilled or frozen"
020840,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen"
020850,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen"
020860,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen"
020890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen"
B_BA45,"Salted, in brine, dried, smoked, and edible flours and meals"
021091,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
021092,"Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)"
021093,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)"
021099,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)"
B_BB,Fish and aquatics invertebrates
B_BB01,Fish
B_BB02,Fresh or chilled
030211,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9"
030213,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9"
030214,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030219,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030221,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030222,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030223,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030224,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030229,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
