id,report_code,report_name,indicator_code,indicator_name,return_columns,function to call,product_table
1,US.PopTotal,"Total and urban population, annual",M3700/Value,Absolute value,"Economy/Label,Year,M3700/Value",get_unctadstat,NA
2,US.PopTotal,"Total and urban population, annual",M5044/Value,Urban population as percentage of total population,"Economy/Label,Year,M5044/Value",get_unctadstat,NA
3,US.PopAgeStruct,"Population structure by gender and age-group, annual, 1950-2050",M3700/Value,Absolute value,"Economy/Label,Year,AgeClass/Label,Sex/Label,M3700/Value",get_unctadstat,NA
4,US.PopGR,"Total population growth rates, annual, 1950-2050",M4017/Value,Annual average growth rate,"Economy/Label,Period/Label,M4017/Value",get_unctadstat,NA
5,US.PopDependency,"Total, child and old-age dependency ratios, annual 1950-2050",M3759/Value,Persons per hundred persons aged 15-64,"Economy/Label,Year,Series/Label,M3759/Value",get_unctadstat,NA
6,US.InclusiveGrowth,Inclusive Growth Index (IGI),M6081/Value,Inclusive growth,"Economy/Label,Year,Category/Label,M6081/Value",get_unctadstat,NA
7,US.Gender_DomesticValueAdded,Domestic value added content in gross exports by sex and broad sector,M5067/Value,Percentage of Domestic Value Added,"Economy/Label,Year,Components/Label,Industry/Label,Sex/Label,M5067/Value",get_unctadstat,NA
8,US.Gender_TradableIndustries,Employment and average monthly earnings in tradable and non-tradable industries,M5080/Value,Percentage of employees,"Economy/Label,Year,Sex/Label,Industry/Label,M5080/Value",get_unctadstat,NA
9,US.Gender_TradableIndustries,Employment and average monthly earnings in tradable and non-tradable industries,M3763/Value,Number of employees in thousands,"Economy/Label,Year,Sex/Label,Industry/Label,M3763/Value",get_unctadstat,NA
10,US.Gender_TradableIndustries,Employment and average monthly earnings in tradable and non-tradable industries,M0170/Value,Average monthly earnings of employees (US$),"Economy/Label,Year,Sex/Label,Industry/Label,M0170/Value",get_unctadstat,NA
11,US.Gender_TradableIndustries,Employment and average monthly earnings in tradable and non-tradable industries,M0171/Value,Average monthly earnings of employees (2017 PPP $),"Economy/Label,Year,Sex/Label,Industry/Label,M0171/Value",get_unctadstat,NA
12,US.FTRI,"Frontier technology readiness index, annual",M6700/Value,FTRI Index,"Economy/Label,Year,Category/Label,M6700/Value",get_unctadstat,NA
13,US.IctProductionSector,"ICT producing sector core indicators, annual",M5059/Value,Percentage of total business sector,"Economy/Label,Year,Variable/Label,M5059/Value",get_unctadstat,NA
14,US.IctUseLocation,"Core indicators on ICT use in business by location type, annual",M5060/Value,Percentage,"Economy/Label,Year,UseOfIct/Label,LocationType/Label,M5060/Value",get_unctadstat,NA
15,US.IctUseEnterprSize,"Core indicators on ICT use in business by enterprise size class, annual",M5060/Value,Percentage,"Economy/Label,Year,UseOfIct/Label,EnterpriseSize/Label,M5060/Value",get_unctadstat,NA
16,US.IctUseEconActivity_Isic4,"Core indicators on ICT use in business by industrial classification of economic activity (ISIC Rev. 4), annual",M5060/Value,Percentage,"Economy/Label,Year,UseOfIct/Label,EconomicActivity/Label,M5060/Value",get_unctadstat,NA
17,US.IctUseEconActivity,"Core indicators on ICT use in business by industrial classification of economic activity (ISIC Rev. 3.1), annual",M5060/Value,Percentage,"Economy/Label,Year,UseOfIct/Label,EconomicActivity/Label,M5060/Value",get_unctadstat,NA
18,US.DigitallyDeliverableServices,"International trade in digitally-deliverable services, value, shares and growth, annual",M5022/Value,Percentage of total trade in services,"Economy/Label,Year,Category/Label,Flow/Label,M5022/Value",get_unctadstat,NA
19,US.DigitallyDeliverableServices,"International trade in digitally-deliverable services, value, shares and growth, annual",M0100/Value,US$ at current prices,"Economy/Label,Year,Category/Label,Flow/Label,M0100/Value",get_unctadstat,NA
20,US.DigitallyDeliverableServices,"International trade in digitally-deliverable services, value, shares and growth, annual",M5031/Value,Percentage of total digitally deliverable services,"Economy/Label,Year,Category/Label,Flow/Label,M5031/Value",get_unctadstat,NA
